sqft,bedrooms,bathrooms,age_years,garage,price
2893,1,2.5,8,no,379839
2408,5,2,6,yes,393666
2808,4,2,34,yes,406344
1669,4,3.5,22,yes,290199
2040,2,1.5,4,yes,279175
1199,4,3.5,56,yes,204583
2253,2,2,19,yes,327446
1828,3,3,44,yes,248125
1141,5,1,27,no,202591
877,2,1,31,no,113629
1440,3,1,47,yes,208667
1327,5,3.5,15,yes,278982
915,1,3.5,3,yes,143233
770,3,1.5,28,no,133556
2005,5,3.5,15,no,329777
1024,5,1.5,4,yes,216442
1353,5,1,53,no,216543
1084,4,1.5,1,no,200639
3230,4,1,26,no,430640
982,2,1,58,yes,133728
2050,5,1.5,57,yes,288090
1014,4,2,42,yes,181938
3173,1,1.5,24,yes,400989
2859,2,3.5,13,yes,401828
1752,4,1.5,0,yes,289941
2863,2,3,43,yes,355432
2951,2,2.5,1,yes,414993
3488,1,1.5,53,no,407037
1812,4,3.5,45,no,251251
3118,1,3,54,yes,388477
2829,3,3,38,yes,389152
1826,4,2,17,yes,305765
1502,1,1,51,no,157520
1214,1,2,5,no,156954
1282,4,2.5,23,no,194190
2774,1,2,45,yes,352101
2083,1,2,47,no,242869
3366,5,1,18,no,489420
1743,2,1,36,no,197695
1890,1,2,54,no,224225
2251,3,1,56,no,274762
3353,5,3,45,yes,485086
2142,1,2,39,no,249948
1361,2,3,11,no,195692
813,2,1.5,23,yes,111444
1469,3,3.5,8,yes,238940
2178,2,2.5,15,no,297317
1730,1,1.5,9,yes,236873
1147,5,1,4,yes,219033
1550,2,1,38,yes,194520
3175,3,1.5,2,yes,431637
3078,5,1,5,no,462367
972,3,1.5,49,yes,122750
2834,5,3.5,10,yes,434146
1247,1,3.5,11,no,177222
3404,1,3,54,yes,404970
3016,1,3,16,yes,408388
2166,1,3,2,yes,311762
863,1,2.5,16,yes,147796
1952,3,1,18,yes,282439
2187,2,1,59,yes,250522
2330,3,1.5,43,yes,301443
2234,1,3.5,21,yes,323105
2785,4,3.5,8,yes,432960
939,2,1,4,no,152708
2377,4,3,19,yes,348614
2196,1,2.5,10,yes,286264
3065,5,2,29,yes,456826
3447,4,3.5,21,yes,477647
2807,1,2,32,yes,362385
1068,4,2.5,18,yes,214236
1910,3,2,3,no,291158
1941,2,3.5,37,no,243465
2057,4,3.5,12,yes,344818
981,4,3,47,yes,179080
1892,1,1,19,no,244504
2243,1,2,8,yes,316544
764,3,2.5,42,yes,120545
2141,3,1,26,no,277635
2969,2,1,48,yes,380597
1340,2,3.5,21,yes,207300
2785,4,1,49,no,344794
1844,4,3,51,yes,259831
889,3,2.5,8,yes,170111
855,4,1.5,57,yes,121603
2059,4,2.5,56,no,294903
3116,1,3.5,14,no,419691
2593,1,2.5,37,yes,342578
2367,5,3,50,yes,362736
1640,1,3,1,yes,243370
2082,3,2,26,no,274040
707,4,3,16,yes,158418
877,1,1.5,22,yes,116215
1971,5,3.5,45,yes,297973
2254,1,2,11,no,282226
1376,1,3.5,56,yes,159697
1014,2,1.5,35,yes,157133
2991,4,1.5,5,yes,455523
2481,2,1.5,1,yes,332481
2407,4,1,59,no,316726
2820,1,1,16,yes,364477
1696,5,2,50,yes,245584
2694,2,2.5,3,yes,396625
3273,2,1.5,7,yes,438143
2564,2,2,41,yes,333653
1551,4,1.5,18,yes,241652
1069,1,1.5,49,no,110113
2904,5,1.5,13,no,435244
1204,4,2.5,41,yes,186063
1054,3,3.5,12,yes,193526
3313,5,2,58,yes,437481
2778,4,2,39,no,388015
2345,4,1.5,58,yes,313978
3222,2,1.5,4,yes,434995
1820,2,1,45,no,217468
2806,4,1.5,29,yes,395337
778,2,2.5,37,yes,124556
3133,3,3.5,45,yes,416975
1717,4,1.5,38,no,243411
2612,2,2,46,yes,332193
